评论ID,评论类型,用户昵称,用户ID,评论内容,点赞数,回复数,评论时间,IP位置
7667657443,普通评论,树林流星蓝柠檬蜜,13808684150,都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮,2,0,2025-07-28 01:01:42,福建
7667593042,普通评论,宅女姜姜,581514772,喜欢萤火星球！好听,1,0,2025-07-27 23:59:50,广东
7667110749,普通评论,zbw94,385910654,梓渝,2,0,2025-07-27 17:56:42,广东
7667030674,普通评论,_神主,449025659,能互关吗[亲亲]求求了,0,0,2025-07-27 15:49:01,四川
7666607223,普通评论,科奥小熊,1898761270,但是张碧晨版本发行的时间是最早的 而且花千骨剧里面也只播了张碧晨唱的这一版,0,0,2025-07-27 00:47:49,江苏
7666604225,普通评论,咩mmMIeA,589860537,[黑人问号]印象中首先听到的男版捏,0,1,2025-07-27 00:45:17,广东
7666453474,普通评论,识谎者,337846989,动态领红包🧧,1,0,2025-07-26 22:17:25,安徽
7666421203,普通评论,D鹿哥,1449693058,观众老爷们不会现在去看花千骨都分男女年轮吧[流泪],1,0,2025-07-26 22:09:42,广东
7666439564,普通评论,D鹿哥,1449693058,这些娱乐圈真是肆意妄为 都不在乎听众的,2,0,2025-07-26 22:07:24,广东
7666382444,普通评论,JOKER--CCY,1697726651,笑死 两个年轮搁这边打起来了[笑哭][笑哭],6,0,2025-07-26 21:04:49,江苏
7666284240,普通评论,无解妄想症,3252856606,年轮回家,6,0,2025-07-26 19:25:15,河北
7666237312,普通评论,霓虹京东电台,1512376785,汪苏泷和张碧晨的粉丝是在网易云打榜嘛？ ,17,0,2025-07-26 17:43:20,江西
7666194405,普通评论,小骆老师717,1869197466,年轮回家,4,0,2025-07-26 16:40:18,广东
7666160023,普通评论,提醒我的向往,4900413120,汪苏泷 年轮 好听！,3,0,2025-07-26 16:15:26,浙江
7666158013,普通评论,提醒我的向往,4900413120,年轮回家,3,0,2025-07-26 16:15:12,浙江
7666146780,普通评论,M北有凉城M,2039664180,汪苏泷,2,0,2025-07-26 15:47:31,山东
7666080735,普通评论,anlalaa,1861908484,身正不怕影子斜,7,0,2025-07-26 13:58:16,广东
7666039901,普通评论,情予小腾OuO,12437715154,这个年轮是被砍两半了吗[惊恐],4,0,2025-07-26 13:04:16,北京
7666050355,普通评论,当人挺好,8653512667,汪苏泷,2,0,2025-07-26 12:55:29,浙江
7665856281,普通评论,楠楠在这里,476066272,梓渝加油,3,0,2025-07-26 06:04:57,河北
7665724903,普通评论,敲晚,9596351097,2025.07.26 萤火星球1438断崖式霸榜,7,0,2025-07-26 00:54:44,安徽
7665719515,普通评论,从石头中蹦出的你,6477517485,萤火星球,2,0,2025-07-26 00:33:41,河南
7665667368,普通评论,荔枝_9klf,1512175658,梓渝爆,2,0,2025-07-25 23:52:38,西藏
7665522201,普通评论,Cathy0706_,246821451,是勇气打败了言不由衷,0,0,2025-07-25 22:05:37,上海
7665517116,普通评论,一颗小紫玉,13795710451,梓渝梓渝,2,0,2025-07-25 22:00:15,四川
7665496104,普通评论,幻33333-,12708576131,沙一汀！,0,0,2025-07-25 21:40:44,河南
7665431957,普通评论,取名真难cl,8254138510,梓渝！,1,0,2025-07-25 20:22:47,河南
7665392739,普通评论,不是我想念的,8848892768,h3r3【我们之间】,0,0,2025-07-25 19:37:35,四川
7665020976,普通评论,落日偏小雪,12185597263,如果你一贫如洗 那我做你最后的行李,1,0,2025-07-25 12:30:09,安徽
7664632318,普通评论,好饭与友共拼,1506178291,王艳薇！！！,0,0,2025-07-24 23:43:01,江西
7664546970,普通评论,hippie-forever,8589176558,永远的ozzy，永远的传奇，rip,0,0,2025-07-24 22:50:07,山东
7664537115,普通评论,Eryuehong小屁孩,1997840943,大家好我是薛之谦，我的心愿是,1,0,2025-07-24 22:45:57,浙江
7664325124,普通评论,06年小萝莉,276015175,来我的笔记里看看吧 交友哦,0,0,2025-07-24 19:40:33,河南
7664070428,普通评论,子当归180915,1599156373,我的王艳薇终于被看见了，大家都去听她的歌，每一首都很好听！！！！！,2,0,2025-07-24 13:27:41,湖南
7663997551,普通评论,音乐上帝xzq,289068972,《跃》飙升第二，大家听一听吧[喜欢],1,0,2025-07-24 11:51:20,广东
7663972843,普通评论,知趣丶啊,1677162913,真的没人了？,0,0,2025-07-24 11:27:47,陕西
7663991295,普通评论,知趣丶啊,1677162913,几百年前的篝火旁都可以吗？,1,1,2025-07-24 11:27:11,陕西
7663081782,普通评论,云村村民169944478578053,8953300498,这啥啊？男的男朋友？,0,0,2025-07-23 17:11:21,天津
7662857843,普通评论,Sayhellohya,338368862,这里面的歌我真是无语得很[委屈],2,0,2025-07-23 11:57:29,广东
